time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-07-10T18:49:16.083Z,27.941,128.2411,51.92,4.5,mb,,85,1.101,0.72,us,us6000eu6w,2021-07-10T21:00:25.040Z,"130 km WSW of Naze, Japan",earthquake,7.2,11,0.156,12,reviewed,us,us
2021-07-10T18:45:20.015Z,6.3219,124.0278,81.43,4.9,mb,,66,1.71,0.94,us,us6000eu6g,2021-07-10T20:03:40.983Z,"13 km S of Sangay, Philippines",earthquake,4.9,6.5,0.047,149,reviewed,us,us
2021-07-10T15:22:42.616Z,38.95,70.378,10,4.6,mb,,52,1.828,0.8,us,us6000eu4x,2021-07-10T16:24:28.040Z,"8 km S of Rasht, Tajikistan",earthquake,3.2,1.9,0.128,18,reviewed,us,us
2021-07-10T14:39:58.151Z,-22.1405,170.9796,82.54,4.7,mb,,54,3.303,0.85,us,us6000eu4k,2021-07-10T15:01:48.040Z,"southeast of the Loyalty Islands",earthquake,10,8.6,0.099,31,reviewed,us,us
2021-07-10T10:52:06.444Z,12.5979,-59.3719,32.46,4.5,mb,,205,0.572,0.61,us,us6000eu36,2021-07-10T11:14:34.040Z,"55 km SSE of Oistins, Barbados",earthquake,11.4,9.6,0.089,42,reviewed,us,us
2021-07-10T10:06:31.194Z,2.8926,126.646,62.62,4.8,mb,,101,2.226,0.73,us,us6000eu2l,2021-07-10T11:34:05.040Z,"198 km NW of Tobelo, Indonesia",earthquake,9,6.9,0.052,114,reviewed,us,us
2021-07-10T05:48:06.309Z,39.0291,70.6068,10,4.6,mb,,60,1.9,0.86,us,us6000eu0s,2021-07-10T06:38:33.040Z,"20 km E of Rasht, Tajikistan",earthquake,6.4,1.9,0.128,18,reviewed,us,us
2021-07-10T03:38:18.672Z,-5.1655,128.592,299.84,4.5,mb,,68,3.881,1.29,us,us6000etzn,2021-07-10T03:55:27.040Z,"168 km SSE of Ambon, Indonesia",earthquake,8.8,8,0.106,26,reviewed,us,us
2021-07-10T03:30:52.760Z,2.8018,126.5902,61.31,4.6,mb,,122,2.16,0.68,us,us6000etzm,2021-07-10T03:47:55.040Z,"197 km NW of Tobelo, Indonesia",earthquake,11.7,8.7,0.158,12,reviewed,us,us
2021-07-10T03:14:43.534Z,49.4467,155.0765,62.34,4.6,mb,,135,16.624,0.55,us,us6000etzg,2021-07-10T03:43:48.040Z,"Kuril Islands",earthquake,12.3,8.2,0.057,92,reviewed,us,us
2021-07-10T03:14:28.478Z,49.2022,155.309,60.36,4.6,mb,,100,4.19,0.83,us,us6000etza,2021-07-10T03:30:26.040Z,"174 km SSW of Severo-Kuril’sk, Russia",earthquake,10.1,7.4,0.048,128,reviewed,us,us
2021-07-10T02:41:10.504Z,1.854,96.9944,24.03,5.4,mb,,44,0.797,0.91,us,us6000etz0,2021-07-10T04:44:10.070Z,"97 km SE of Sinabang, Indonesia",earthquake,6.4,4.7,0.044,177,reviewed,us,us
2021-07-10T02:30:57.192Z,3.0234,126.8,53.41,4.6,mb,,132,2.307,0.58,us,us6000etyw,2021-07-10T02:46:51.040Z,"196 km NW of Tobelo, Indonesia",earthquake,9.8,7.9,0.122,20,reviewed,us,us
